store_id,store_name,location,opened_date
66,Store 66,Chicago,2017-06-01
67,Store 67,Houston,2018-07-16
68,Store 68,Phoenix,2010-06-30
69,Store 69,New York,2015-01-28
70,Store 70,Chicago,2013-04-27
71,Store 71,Los Angeles,2014-07-04
72,Store 72,Los Angeles,2018-03-02
73,Store 73,New York,2016-03-15
74,Store 74,Los Angeles,2010-04-14
75,Store 75,Los Angeles,2013-11-21
76,Store 76,New York,2016-05-03
77,Store 77,Chicago,2019-09-25
78,Store 78,Los Angeles,2015-07-18
79,Store 79,Phoenix,2017-11-07
80,Store 80,Los Angeles,2013-01-22
81,Store 81,Los Angeles,2011-07-20
82,Store 82,Los Angeles,2018-02-05
83,Store 83,Phoenix,2018-10-30
84,Store 84,Chicago,2018-09-13
85,Store 85,New York,2019-03-24
86,Store 86,Phoenix,2013-03-24
87,Store 87,New York,2018-09-04
88,Store 88,Los Angeles,2017-10-02
89,Store 89,Houston,2017-06-25
90,Store 90,Houston,2013-08-01
91,Store 91,Chicago,2011-09-05
92,Store 92,Los Angeles,2017-05-10
93,Store 93,Phoenix,2014-08-03
94,Store 94,Houston,2019-11-17
95,Store 95,Houston,2014-01-31
96,Store 96,Los Angeles,2014-06-29
97,Store 97,Chicago,2013-03-01
98,Store 98,Phoenix,2017-08-10
99,Store 99,Phoenix,2013-02-24
100,Store 100,New York,2019-11-01
101,Store 101,Houston,2014-09-18
102,Store 102,Chicago,2018-10-18
103,Store 103,Houston,2011-12-12
104,Store 104,Los Angeles,2012-10-23
105,Store 105,New York,2017-11-17
106,Store 106,Los Angeles,2018-02-11
107,Store 107,Houston,2017-08-24
108,Store 108,Houston,2010-06-19
109,Store 109,Houston,2016-09-01
110,Store 110,Chicago,2016-03-31
111,Store 111,New York,2019-09-14
112,Store 112,New York,2011-10-18
113,Store 113,Los Angeles,2018-08-20
114,Store 114,Los Angeles,2014-09-16
115,Store 115,Los Angeles,2011-12-07
116,Store 116,Chicago,2015-08-08
117,Store 117,Houston,2013-04-22
118,Store 118,New York,2019-10-23
119,Store 119,Los Angeles,2010-06-25
120,Store 120,New York,2011-09-25
121,Store 121,Los Angeles,2011-12-02
122,Store 122,Chicago,2017-03-18
123,Store 123,Houston,2015-12-23
124,Store 124,Houston,2014-10-15
125,Store 125,New York,2017-10-10
126,Store 126,Los Angeles,2018-07-04
127,Store 127,Los Angeles,2015-03-25
128,Store 128,Phoenix,2011-05-10
129,Store 129,Houston,2014-01-14
130,Store 130,New York,2011-08-22
131,Store 131,Chicago,2012-07-07
132,Store 132,Houston,2015-11-18
133,Store 133,Phoenix,2013-02-14
134,Store 134,Chicago,2015-07-16
135,Store 135,Los Angeles,2011-02-21
136,Store 136,Houston,2015-01-06
137,Store 137,New York,2012-08-18
138,Store 138,Houston,2012-07-17
139,Store 139,New York,2018-03-09
140,Store 140,Los Angeles,2017-03-04
141,Store 141,Houston,2010-01-15
142,Store 142,New York,2014-09-27
143,Store 143,Los Angeles,2013-02-10
144,Store 144,Houston,2012-08-09
145,Store 145,Houston,2013-07-12
146,Store 146,Phoenix,2016-09-26
147,Store 147,Los Angeles,2015-11-01
148,Store 148,New York,2013-06-22
149,Store 149,Chicago,2017-01-12
150,Store 150,Houston,2011-08-28
151,Store 151,New York,2012-01-08
152,Store 152,Chicago,2016-08-12
153,Store 153,New York,2015-11-11
154,Store 154,Phoenix,2019-08-31
155,Store 155,New York,2011-11-09
156,Store 156,Phoenix,2017-08-20
157,Store 157,Houston,2015-04-15
158,Store 158,Houston,2013-11-07
159,Store 159,Houston,2018-08-05
160,Store 160,Phoenix,2014-01-13
161,Store 161,New York,2016-11-05
162,Store 162,Chicago,2016-12-30
163,Store 163,Phoenix,2016-12-30
164,Store 164,Chicago,2012-03-13
165,Store 165,Los Angeles,2013-01-18
166,Store 166,New York,2017-10-10
167,Store 167,Los Angeles,2011-03-17
168,Store 168,Chicago,2017-04-06
169,Store 169,Phoenix,2015-10-03
170,Store 170,New York,2016-10-10
171,Store 171,Los Angeles,2018-12-27
172,Store 172,Chicago,2015-11-24
173,Store 173,Houston,2018-05-22
174,Store 174,Phoenix,2014-08-02
175,Store 175,New York,2013-10-19
176,Store 176,Los Angeles,2015-09-28
177,Store 177,Phoenix,2013-01-04
178,Store 178,New York,2010-08-11
179,Store 179,Phoenix,2019-03-27
180,Store 180,Chicago,2016-12-31
181,Store 181,Los Angeles,2014-04-15
182,Store 182,Houston,2013-12-31
183,Store 183,Chicago,2018-07-26
184,Store 184,Houston,2012-08-15
185,Store 185,Chicago,2015-07-09
186,Store 186,Los Angeles,2019-01-29
187,Store 187,Chicago,2018-12-11
188,Store 188,Chicago,2012-11-16
189,Store 189,Chicago,2015-09-22
190,Store 190,Phoenix,2012-07-28
191,Store 191,Chicago,2017-01-05
192,Store 192,Phoenix,2016-12-03
193,Store 193,Phoenix,2010-06-21
194,Store 194,New York,2016-08-07
195,Store 195,Houston,2017-06-28
196,Store 196,Houston,2018-02-01
197,Store 197,Los Angeles,2017-02-06
198,Store 198,Los Angeles,2014-09-20
199,Store 199,Los Angeles,2015-08-06
200,Store 200,Phoenix,2018-09-09
201,Store 201,Chicago,2015-06-06
202,Store 202,Chicago,2017-11-06
203,Store 203,Chicago,2017-04-27
204,Store 204,Houston,2015-02-06
205,Store 205,Los Angeles,2012-11-08
206,Store 206,Chicago,2015-03-07
207,Store 207,Houston,2016-05-09
208,Store 208,New York,2011-06-06
209,Store 209,Houston,2016-02-16
210,Store 210,Phoenix,2018-01-25
211,Store 211,Chicago,2016-02-09
212,Store 212,Houston,2019-07-30
213,Store 213,Houston,2016-09-28
214,Store 214,New York,2011-03-14
215,Store 215,Phoenix,2014-06-22
216,Store 216,Chicago,2010-02-24
217,Store 217,Phoenix,2017-05-20
218,Store 218,New York,2018-06-19
219,Store 219,Los Angeles,2018-05-13
220,Store 220,Los Angeles,2016-08-26
221,Store 221,New York,2015-08-17
222,Store 222,Chicago,2019-09-30
223,Store 223,Chicago,2013-10-21
224,Store 224,Phoenix,2010-11-16
225,Store 225,New York,2014-08-29
226,Store 226,Chicago,2013-10-20
227,Store 227,Houston,2013-05-23
228,Store 228,Los Angeles,2013-08-28
229,Store 229,Phoenix,2012-03-20
230,Store 230,Chicago,2017-06-14
231,Store 231,Chicago,2011-11-21
232,Store 232,Chicago,2015-05-13
233,Store 233,Los Angeles,2019-08-29
234,Store 234,Los Angeles,2016-07-29
235,Store 235,Houston,2019-11-24
236,Store 236,Chicago,2012-12-03
237,Store 237,Chicago,2016-04-23
238,Store 238,Phoenix,2016-06-05
239,Store 239,Houston,2013-12-20
240,Store 240,New York,2011-08-19
241,Store 241,New York,2015-11-21
242,Store 242,Los Angeles,2016-07-23
243,Store 243,Chicago,2017-02-19
244,Store 244,Phoenix,2013-04-15
245,Store 245,Los Angeles,2015-05-21
246,Store 246,Los Angeles,2012-05-12
247,Store 247,Phoenix,2016-10-16
248,Store 248,Phoenix,2012-05-23
249,Store 249,Phoenix,2019-02-23
250,Store 250,Houston,2014-09-24
251,Store 251,Los Angeles,2019-05-30
252,Store 252,New York,2015-03-02
253,Store 253,Chicago,2018-10-12
254,Store 254,New York,2016-11-01
255,Store 255,New York,2018-10-10
256,Store 256,Houston,2016-08-15
257,Store 257,New York,2011-01-29
258,Store 258,Los Angeles,2013-05-10
259,Store 259,Houston,2017-08-30
260,Store 260,Chicago,2014-02-04
261,Store 261,Los Angeles,2015-07-18
262,Store 262,Phoenix,2011-04-25
263,Store 263,Phoenix,2013-12-05
264,Store 264,New York,2015-03-23
265,Store 265,Los Angeles,2016-09-14
266,Store 266,Chicago,2016-04-04
267,Store 267,Houston,2016-08-12
268,Store 268,Phoenix,2010-11-03
269,Store 269,New York,2016-10-21
270,Store 270,Chicago,2013-02-27
271,Store 271,Chicago,2019-11-05
272,Store 272,Chicago,2013-06-09
273,Store 273,Chicago,2019-10-03
274,Store 274,Los Angeles,2016-08-21
275,Store 275,Phoenix,2019-01-22
276,Store 276,Phoenix,2013-01-25
277,Store 277,Los Angeles,2013-02-20
278,Store 278,Los Angeles,2013-10-27
279,Store 279,Phoenix,2016-03-19
280,Store 280,Los Angeles,2017-09-21
281,Store 281,Chicago,2018-06-14
282,Store 282,Houston,2018-05-01
283,Store 283,Chicago,2018-07-01
284,Store 284,Los Angeles,2017-12-25
285,Store 285,Phoenix,2018-10-13
286,Store 286,Houston,2013-05-24
287,Store 287,Chicago,2015-11-03
288,Store 288,New York,2010-03-25
289,Store 289,Chicago,2016-04-10
290,Store 290,Phoenix,2019-07-10
291,Store 291,Phoenix,2016-11-24
292,Store 292,Phoenix,2015-01-27
293,Store 293,Chicago,2015-02-21
294,Store 294,Phoenix,2018-04-13
295,Store 295,Chicago,2014-12-08
296,Store 296,Chicago,2019-03-18
297,Store 297,Los Angeles,2013-06-11
298,Store 298,Los Angeles,2012-03-17
299,Store 299,New York,2017-09-02
300,Store 300,Houston,2018-04-02
301,Store 301,Houston,2012-03-03
302,Store 302,Chicago,2014-03-24
303,Store 303,Chicago,2010-04-05
304,Store 304,New York,2015-03-26
305,Store 305,Los Angeles,2015-02-21
306,Store 306,Phoenix,2011-05-06
307,Store 307,Houston,2018-12-10
308,Store 308,Los Angeles,2015-07-23
309,Store 309,Houston,2015-10-09
310,Store 310,Phoenix,2010-02-18
311,Store 311,Houston,2014-03-29
312,Store 312,Phoenix,2017-08-06
313,Store 313,New York,2014-07-23
314,Store 314,Phoenix,2015-03-06
315,Store 315,Chicago,2011-01-25
316,Store 316,Phoenix,2012-04-22
317,Store 317,Los Angeles,2010-04-19
318,Store 318,Chicago,2013-09-15
319,Store 319,New York,2010-11-21
320,Store 320,Houston,2012-11-10
321,Store 321,Phoenix,2016-04-07
322,Store 322,Phoenix,2012-12-16
323,Store 323,Houston,2011-04-20
324,Store 324,Houston,2019-02-08
325,Store 325,Phoenix,2019-04-26
326,Store 326,New York,2011-12-10
327,Store 327,Phoenix,2014-02-15
328,Store 328,Los Angeles,2013-07-21
329,Store 329,Chicago,2014-06-02
330,Store 330,Houston,2019-10-29
331,Store 331,Phoenix,2015-05-02
332,Store 332,Phoenix,2019-11-22
333,Store 333,New York,2019-09-12
334,Store 334,Phoenix,2012-12-26
335,Store 335,Chicago,2016-08-22
336,Store 336,Los Angeles,2018-07-27
337,Store 337,Los Angeles,2013-08-29
338,Store 338,Los Angeles,2018-02-18
339,Store 339,Los Angeles,2018-05-03
340,Store 340,Chicago,2016-09-26
341,Store 341,Chicago,2011-06-09
342,Store 342,New York,2018-10-18
343,Store 343,Los Angeles,2016-04-16
344,Store 344,Houston,2017-09-23
345,Store 345,Phoenix,2017-03-09
346,Store 346,New York,2019-05-04
347,Store 347,Chicago,2013-08-05
348,Store 348,Houston,2016-12-12
349,Store 349,Houston,2014-04-29
350,Store 350,Houston,2012-01-28
351,Store 351,Houston,2015-11-15
352,Store 352,Los Angeles,2012-07-22
353,Store 353,New York,2018-03-29
354,Store 354,Chicago,2018-03-01
355,Store 355,Phoenix,2011-04-23
356,Store 356,Phoenix,2010-04-02
357,Store 357,Phoenix,2011-12-01
358,Store 358,Houston,2010-05-19
359,Store 359,Houston,2015-01-08
360,Store 360,New York,2019-08-02
361,Store 361,Houston,2017-10-28
362,Store 362,Phoenix,2012-08-30
363,Store 363,New York,2010-12-26
364,Store 364,Houston,2013-12-24
365,Store 365,Chicago,2015-07-12
366,Store 366,New York,2010-07-13
367,Store 367,Houston,2014-12-13
368,Store 368,Houston,2013-08-30
369,Store 369,Los Angeles,2018-10-14
370,Store 370,Houston,2011-07-11
371,Store 371,Houston,2018-02-10
372,Store 372,New York,2017-06-22
373,Store 373,New York,2016-01-20
374,Store 374,New York,2017-02-25
375,Store 375,Chicago,2018-10-02
376,Store 376,Los Angeles,2012-11-28
377,Store 377,Los Angeles,2013-08-01
378,Store 378,New York,2016-06-22
379,Store 379,New York,2012-05-21
380,Store 380,Houston,2018-07-08
381,Store 381,Phoenix,2015-03-23
382,Store 382,Phoenix,2014-09-02
383,Store 383,Phoenix,2018-11-14
384,Store 384,New York,2012-09-01
385,Store 385,Phoenix,2010-07-21
386,Store 386,Chicago,2018-04-20
387,Store 387,Houston,2018-02-16
388,Store 388,Phoenix,2018-01-27
389,Store 389,Phoenix,2016-05-08
390,Store 390,Phoenix,2015-02-05
391,Store 391,New York,2017-09-15
392,Store 392,Houston,2017-12-01
393,Store 393,Phoenix,2010-05-04
394,Store 394,Houston,2019-10-27
395,Store 395,Chicago,2011-05-28
396,Store 396,Houston,2012-12-03
397,Store 397,Houston,2014-01-13
398,Store 398,Houston,2015-01-20
399,Store 399,New York,2012-02-04
400,Store 400,Houston,2010-09-18
401,Store 401,New York,2010-04-13
402,Store 402,Chicago,2011-04-30
403,Store 403,Phoenix,2018-03-08
404,Store 404,Houston,2018-01-07
405,Store 405,Los Angeles,2013-12-07
406,Store 406,Houston,2017-06-22
407,Store 407,Los Angeles,2011-02-16
408,Store 408,Los Angeles,2014-06-01
409,Store 409,Phoenix,2017-01-06
410,Store 410,Los Angeles,2014-07-24
411,Store 411,Phoenix,2015-04-22
412,Store 412,New York,2015-03-11
413,Store 413,Los Angeles,2013-11-24
414,Store 414,Chicago,2016-09-14
415,Store 415,Chicago,2014-09-14
416,Store 416,Los Angeles,2014-05-31
417,Store 417,New York,2011-06-03
418,Store 418,New York,2011-08-04
419,Store 419,Phoenix,2011-06-22
420,Store 420,Chicago,2012-11-27
421,Store 421,Los Angeles,2015-01-27
422,Store 422,Los Angeles,2012-07-14
423,Store 423,Phoenix,2016-12-06
424,Store 424,New York,2018-06-26
425,Store 425,New York,2017-09-09
426,Store 426,Los Angeles,2018-04-13
427,Store 427,Los Angeles,2014-08-22
428,Store 428,Los Angeles,2016-05-07
429,Store 429,New York,2011-09-27
430,Store 430,Phoenix,2013-02-02
431,Store 431,New York,2016-11-06
432,Store 432,Phoenix,2013-11-11
433,Store 433,Los Angeles,2015-04-17
434,Store 434,Houston,2019-07-07
435,Store 435,Chicago,2018-05-17
436,Store 436,Houston,2012-02-13
437,Store 437,New York,2019-10-07
438,Store 438,Chicago,2013-03-29
439,Store 439,Los Angeles,2010-08-07
440,Store 440,Los Angeles,2019-08-20
441,Store 441,Phoenix,2010-11-17
442,Store 442,Chicago,2010-03-07
443,Store 443,Los Angeles,2018-06-04
444,Store 444,New York,2019-02-10
445,Store 445,Houston,2015-09-08
446,Store 446,Phoenix,2015-07-21
447,Store 447,Phoenix,2012-10-14
448,Store 448,Houston,2018-07-01
449,Store 449,Chicago,2016-05-01
450,Store 450,Los Angeles,2015-10-22
451,Store 451,Phoenix,2019-12-17
452,Store 452,Chicago,2011-10-11
453,Store 453,New York,2011-05-11
454,Store 454,New York,2015-12-22
455,Store 455,Los Angeles,2012-10-13
456,Store 456,Houston,2018-04-09
457,Store 457,New York,2019-05-23
458,Store 458,New York,2013-04-28
459,Store 459,Houston,2011-07-23
460,Store 460,New York,2010-07-18
461,Store 461,New York,2014-02-24
462,Store 462,Chicago,2014-05-30
463,Store 463,Houston,2016-08-25
464,Store 464,Houston,2016-04-27
465,Store 465,Houston,2017-01-04
466,Store 466,New York,2012-05-23
467,Store 467,Chicago,2010-04-10
468,Store 468,Houston,2017-10-08
469,Store 469,Chicago,2011-02-13
470,Store 470,New York,2016-12-02
471,Store 471,Houston,2019-05-29
472,Store 472,Phoenix,2013-08-21
473,Store 473,Los Angeles,2011-12-27
474,Store 474,Los Angeles,2014-12-14
475,Store 475,Houston,2017-08-31
476,Store 476,Los Angeles,2018-08-14
477,Store 477,Phoenix,2011-03-30
478,Store 478,Los Angeles,2016-12-07
479,Store 479,New York,2018-08-08
480,Store 480,New York,2015-01-11
481,Store 481,Houston,2016-09-17
482,Store 482,Los Angeles,2016-09-12
483,Store 483,Houston,2016-04-05
484,Store 484,Chicago,2016-05-06
485,Store 485,New York,2010-05-05
486,Store 486,Los Angeles,2018-03-21
487,Store 487,Chicago,2012-06-04
488,Store 488,New York,2018-08-08
489,Store 489,Phoenix,2014-09-14
490,Store 490,Los Angeles,2014-07-15
491,Store 491,Los Angeles,2011-03-12
492,Store 492,Chicago,2010-01-08
493,Store 493,Chicago,2017-04-24
494,Store 494,Chicago,2017-09-18
495,Store 495,Phoenix,2015-07-31
496,Store 496,Los Angeles,2014-11-03
497,Store 497,Chicago,2017-06-24
498,Store 498,Phoenix,2019-06-18
499,Store 499,Los Angeles,2017-12-24
500,Store 500,Phoenix,2014-06-12
501,Store 501,New York,2011-04-07
502,Store 502,Houston,2015-09-27
503,Store 503,Chicago,2016-08-16
504,Store 504,Houston,2010-01-15
505,Store 505,Los Angeles,2012-03-01
506,Store 506,New York,2015-01-07
507,Store 507,New York,2018-03-16
508,Store 508,New York,2011-10-06
509,Store 509,Phoenix,2010-11-30
510,Store 510,Houston,2014-09-10
511,Store 511,Los Angeles,2019-12-02
512,Store 512,New York,2016-11-29
513,Store 513,Chicago,2018-01-26
514,Store 514,Chicago,2016-12-27
515,Store 515,New York,2011-07-23
516,Store 516,Houston,2018-11-06
517,Store 517,Phoenix,2010-01-01
518,Store 518,Houston,2015-02-07
519,Store 519,Chicago,2011-04-21
520,Store 520,Houston,2016-04-14
521,Store 521,Houston,2014-04-22
522,Store 522,Los Angeles,2012-09-23
523,Store 523,Chicago,2016-04-03
524,Store 524,Chicago,2016-06-26
525,Store 525,Phoenix,2011-02-16
526,Store 526,Chicago,2016-03-09
527,Store 527,Chicago,2014-08-07
528,Store 528,Chicago,2017-02-11
529,Store 529,Houston,2018-03-14
530,Store 530,New York,2016-07-25
531,Store 531,Chicago,2015-06-20
532,Store 532,Chicago,2010-09-14
533,Store 533,Phoenix,2017-03-07
534,Store 534,Houston,2019-07-22
535,Store 535,Chicago,2011-10-11
536,Store 536,New York,2015-12-18
537,Store 537,Houston,2016-08-11
538,Store 538,Los Angeles,2013-07-30
539,Store 539,New York,2013-08-31
540,Store 540,Los Angeles,2010-11-17
541,Store 541,New York,2012-09-30
542,Store 542,Houston,2010-07-18
543,Store 543,Houston,2012-10-14
544,Store 544,New York,2019-02-04
545,Store 545,Chicago,2017-03-07
546,Store 546,Los Angeles,2010-06-08
547,Store 547,Houston,2019-12-18
548,Store 548,Chicago,2019-09-13
549,Store 549,Los Angeles,2011-09-10
550,Store 550,Chicago,2018-11-14
551,Store 551,Los Angeles,2016-04-15
552,Store 552,Phoenix,2014-02-06
553,Store 553,Houston,2012-09-15
554,Store 554,Phoenix,2017-03-25
555,Store 555,Los Angeles,2010-01-03
556,Store 556,Los Angeles,2013-07-10
557,Store 557,Chicago,2015-05-11
558,Store 558,Houston,2014-04-16
559,Store 559,Chicago,2013-12-02
560,Store 560,Houston,2011-08-28
561,Store 561,Houston,2010-11-02
562,Store 562,Chicago,2016-06-13
563,Store 563,Houston,2018-05-18
564,Store 564,Chicago,2017-07-30
565,Store 565,Phoenix,2015-05-15
566,Store 566,Phoenix,2011-03-23
567,Store 567,New York,2016-05-19
568,Store 568,Houston,2018-07-25
569,Store 569,Phoenix,2016-09-11
570,Store 570,Houston,2016-12-08
571,Store 571,Los Angeles,2013-12-02
572,Store 572,Chicago,2018-09-23
573,Store 573,New York,2012-11-11
574,Store 574,Los Angeles,2012-04-29
575,Store 575,Los Angeles,2014-04-30
576,Store 576,Chicago,2015-01-28
577,Store 577,Phoenix,2019-12-28
578,Store 578,Houston,2019-01-03
579,Store 579,Phoenix,2014-08-03
580,Store 580,Houston,2019-03-31
581,Store 581,Los Angeles,2010-05-04
582,Store 582,Houston,2015-11-15
583,Store 583,Chicago,2012-08-26
584,Store 584,New York,2018-03-04
585,Store 585,Los Angeles,2016-01-27
586,Store 586,Los Angeles,2017-09-14
587,Store 587,Los Angeles,2018-08-31
588,Store 588,Chicago,2014-11-26
589,Store 589,Houston,2019-05-18
590,Store 590,Los Angeles,2010-01-15
591,Store 591,Los Angeles,2011-03-17
592,Store 592,Chicago,2018-12-11
593,Store 593,Los Angeles,2011-07-31
594,Store 594,New York,2019-04-24
595,Store 595,Phoenix,2014-09-29
596,Store 596,New York,2018-07-04
597,Store 597,Phoenix,2012-11-06
598,Store 598,Chicago,2016-12-04
599,Store 599,Houston,2014-08-25
600,Store 600,Chicago,2010-04-06
601,Store 601,New York,2012-12-30
602,Store 602,New York,2018-10-25
603,Store 603,Chicago,2014-06-02
604,Store 604,Chicago,2013-01-13
605,Store 605,Houston,2019-05-09
606,Store 606,Phoenix,2011-06-30
607,Store 607,Chicago,2010-07-24
608,Store 608,Chicago,2016-10-03
609,Store 609,Los Angeles,2013-10-11
610,Store 610,Chicago,2018-08-23
611,Store 611,Los Angeles,2012-01-06
612,Store 612,Houston,2018-07-07
613,Store 613,Phoenix,2018-07-21
614,Store 614,Los Angeles,2010-10-07
615,Store 615,Phoenix,2012-01-02
616,Store 616,Chicago,2013-04-05
617,Store 617,Chicago,2019-03-05
618,Store 618,New York,2013-08-13
619,Store 619,Phoenix,2014-07-30
620,Store 620,New York,2014-03-10
621,Store 621,Chicago,2014-12-13
622,Store 622,Los Angeles,2015-08-25
623,Store 623,New York,2012-08-27
624,Store 624,Chicago,2019-12-21
625,Store 625,Phoenix,2012-10-27
626,Store 626,Houston,2019-04-13
627,Store 627,Los Angeles,2011-03-29
628,Store 628,New York,2011-10-24
629,Store 629,Chicago,2018-01-15
630,Store 630,Houston,2017-11-21
631,Store 631,Phoenix,2014-06-13
632,Store 632,Houston,2010-07-22
633,Store 633,Phoenix,2013-06-03
634,Store 634,Los Angeles,2015-08-06
635,Store 635,Los Angeles,2011-01-17
636,Store 636,New York,2011-03-07
637,Store 637,Phoenix,2016-04-07
638,Store 638,Phoenix,2011-09-16
639,Store 639,New York,2014-08-07
640,Store 640,Houston,2010-10-17
641,Store 641,New York,2012-08-26
642,Store 642,Chicago,2012-08-21
643,Store 643,Chicago,2016-03-27
644,Store 644,Phoenix,2018-03-12
645,Store 645,Los Angeles,2010-05-30
646,Store 646,Los Angeles,2016-09-23
647,Store 647,Los Angeles,2016-07-07
648,Store 648,New York,2011-03-09
649,Store 649,Houston,2018-01-16
650,Store 650,Chicago,2010-04-01
651,Store 651,Houston,2014-11-29
652,Store 652,New York,2013-02-11
653,Store 653,Los Angeles,2014-04-14
654,Store 654,Houston,2017-07-09
655,Store 655,Los Angeles,2012-10-25
656,Store 656,Chicago,2018-09-20
657,Store 657,Houston,2013-01-03
658,Store 658,Los Angeles,2016-10-13
659,Store 659,Phoenix,2017-10-15
660,Store 660,Phoenix,2014-10-11
661,Store 661,Los Angeles,2011-10-27
662,Store 662,Chicago,2017-03-28
663,Store 663,New York,2013-01-07
664,Store 664,Chicago,2017-06-11
665,Store 665,Phoenix,2016-12-27
666,Store 666,Los Angeles,2016-03-27
667,Store 667,Phoenix,2015-06-20
668,Store 668,Chicago,2016-07-30
669,Store 669,Los Angeles,2013-07-23
670,Store 670,Houston,2019-02-13
671,Store 671,Houston,2010-09-04
672,Store 672,Phoenix,2012-02-06
673,Store 673,Phoenix,2016-06-17
674,Store 674,Los Angeles,2015-12-10
675,Store 675,Los Angeles,2011-12-10
676,Store 676,Houston,2017-03-23
677,Store 677,New York,2017-02-03
678,Store 678,Chicago,2019-03-23
679,Store 679,Phoenix,2015-07-14
680,Store 680,Los Angeles,2019-01-27
681,Store 681,Chicago,2010-07-05
682,Store 682,Phoenix,2013-09-05
683,Store 683,Houston,2019-02-11
684,Store 684,Los Angeles,2014-08-24
685,Store 685,Chicago,2018-09-03
686,Store 686,Houston,2017-10-06
687,Store 687,Los Angeles,2011-05-22
688,Store 688,Houston,2012-12-06
689,Store 689,Phoenix,2014-06-04
690,Store 690,Los Angeles,2018-07-06
691,Store 691,Phoenix,2011-09-22
692,Store 692,Chicago,2017-05-11
693,Store 693,New York,2013-11-18
694,Store 694,Phoenix,2019-10-03
695,Store 695,New York,2010-10-30
696,Store 696,Los Angeles,2011-08-06
697,Store 697,Phoenix,2010-10-14
698,Store 698,New York,2019-08-11
699,Store 699,New York,2019-09-26
700,Store 700,Chicago,2013-11-11
701,Store 701,Phoenix,2018-06-15
702,Store 702,Phoenix,2010-08-28
703,Store 703,Chicago,2014-08-12
704,Store 704,Chicago,2013-05-14
705,Store 705,Houston,2018-11-15
706,Store 706,Chicago,2015-02-27
707,Store 707,Los Angeles,2015-10-01
708,Store 708,Chicago,2014-02-09
709,Store 709,Houston,2014-11-21
710,Store 710,Houston,2018-03-23
711,Store 711,Houston,2018-11-19
712,Store 712,Los Angeles,2017-12-19
713,Store 713,Houston,2017-09-16
714,Store 714,New York,2010-09-04
715,Store 715,Los Angeles,2013-08-12
716,Store 716,Phoenix,2012-03-03
717,Store 717,Phoenix,2012-05-17
718,Store 718,Houston,2011-12-16
719,Store 719,Houston,2011-11-27
720,Store 720,Phoenix,2010-03-13
721,Store 721,New York,2015-06-08
722,Store 722,New York,2019-06-16
723,Store 723,Houston,2014-12-28
724,Store 724,New York,2017-05-15
725,Store 725,Chicago,2016-06-23
726,Store 726,Houston,2011-04-25
727,Store 727,Chicago,2018-10-22
728,Store 728,Chicago,2016-01-11
729,Store 729,Houston,2013-05-23
730,Store 730,Chicago,2019-10-01
731,Store 731,Phoenix,2012-02-23
732,Store 732,Phoenix,2018-12-18
